,Area,city,district,Prywatne,Firmowe,Zwierzęta,Winda,Umeblowane,Poziom,Rooms,Parking,Zabudowa,Total_price
4246,28.0,łódź,bałuty,1,0,0,0,1,1 ,1,ulica,blok ,1800.0
4248,34.0,łódź,śródmieście,0,1,1,1,1,1 ,1,brak,apartamentowiec ,2165.0
4250,25.0,łódź,polesie,1,0,0,0,1,4 ,1,brak,kamienica ,1900.0
4252,37.6,łódź,śródmieście,0,1,1,1,1,1 ,2,garaż,blok ,2310.0
4253,25.0,łódź,górna,1,0,0,0,1,3 ,1,brak,kamienica ,1800.0
4254,25.0,łódź,bałuty,1,0,0,0,1,1 ,1,ulica,blok ,1600.0
4256,18.4,łódź,śródmieście,1,0,1,1,1,3 ,1,garaż,apartamentowiec ,1720.0
4258,40.0,łódź,śródmieście,1,0,1,1,1,4 ,2,brak,blok ,2250.0
4259,25.0,łódź,górna,1,0,0,0,1,2 ,2,brak,kamienica ,1950.0
4261,32.0,łódź,bałuty,1,0,1,0,1,parter ,1,ulica,blok ,2095.0
4263,38.0,łódź,śródmieście,1,0,0,0,1,1 ,2,ulica,kamienica ,3250.0
4264,21.0,łódź,śródmieście,0,1,1,0,1,3 ,1,brak,kamienica ,1700.0
4265,28.0,łódź,widzew,1,0,0,1,1,9 ,1,ulica,blok ,2400.0
4266,28.0,łódź,górna,0,1,1,1,1,3 ,1,ulica,apartamentowiec ,2400.0
4270,25.0,łódź,śródmieście,0,1,1,1,1,2 ,1,brak,apartamentowiec ,1890.0
4272,40.0,łódź,śródmieście,1,0,0,0,1,2 ,2,ulica,kamienica ,850.0
4274,27.0,łódź,śródmieście,1,0,0,1,1,2 ,1,brak,apartamentowiec ,2550.0
4276,22.0,łódź,śródmieście,0,1,0,0,1,2 ,1,brak,blok ,2100.0
4277,25.0,łódź,górna,1,0,0,0,1,powyżej 10 ,1,brak,blok ,2000.0
4278,38.0,łódź,bałuty,1,0,0,0,1,2 ,2,brak,blok ,2300.0
4280,41.0,łódź,polesie,1,0,0,0,1,2 ,2,brak,kamienica ,1700.0
4281,44.77,łódź,śródmieście,0,1,0,1,1,1 ,2,brak,apartamentowiec ,2700.0
4282,46.0,łódź,widzew,0,1,0,0,1,3 ,2,brak,blok ,1900.0
4283,75.0,łódź,śródmieście,1,0,1,0,1,2 ,2,brak,kamienica ,2900.0
4284,20.0,łódź,śródmieście,1,0,0,0,1,1 ,1,brak,kamienica ,1810.0
4285,36.0,łódź,śródmieście,0,1,0,0,1,parter ,2,brak,kamienica ,2690.0
4287,30.0,łódź,śródmieście,1,0,0,1,1,1 ,1,brak,apartamentowiec ,2500.0
4289,57.0,łódź,śródmieście,1,0,1,1,1,1 ,2,brak,apartamentowiec ,2820.0
4290,27.0,łódź,śródmieście,1,0,0,1,1,7 ,1,brak,blok ,2100.0
4291,29.0,łódź,górna,0,1,0,1,1,2 ,1,garaż,apartamentowiec ,2000.0
4293,42.0,łódź,polesie,1,0,0,1,1,5 ,2,ulica,apartamentowiec ,3067.0
4299,15.0,łódź,śródmieście,1,0,1,0,1,1 ,1,brak,kamienica ,1470.0
4300,30.0,łódź,bałuty,1,0,0,1,0,4 ,1,ulica,kamienica ,2300.0
4301,42.34,łódź,widzew,0,1,0,0,1,4 ,2,strzeżony,apartamentowiec ,2400.0
