,Area,city,district,Prywatne,Firmowe,Zwierzęta,Winda,Umeblowane,Poziom,Rooms,Parking,Zabudowa,Total_price
0,68.4,kraków,grzegórzki,0,1,0,1,1,4 ,3,brak,blok ,3900.0
1,38.0,kraków,czyżyny,1,0,0,1,1,1 ,2,ulica,apartamentowiec ,3670.0
2,40.0,kraków,grzegórzki,0,1,1,1,1,2 ,2,garaż,blok ,3300.0
3,20.0,kraków,stare miasto,1,0,0,0,1,1 ,1,brak,kamienica ,2100.0
4,22.0,kraków,dębniki,1,0,1,1,1,4 ,1,ulica,blok ,2600.0
5,45.0,kraków,prądnik czerwony,1,0,0,1,1,9 ,2,garaż,blok ,3700.0
6,46.0,kraków,łagiewniki,1,0,0,1,1,9 ,3,ulica,blok ,3240.0
7,36.0,kraków,zwierzyniec,1,0,0,1,1,4 ,1,garaż,apartamentowiec ,3700.0
8,45.0,kraków,dębniki,1,0,0,0,1,4 ,2,garaż,blok ,3500.0
9,50.0,kraków,podgórze duchackie,1,0,1,0,1,1 ,2,ulica,blok ,2900.0
10,31.0,kraków,prądnik biały,1,0,0,0,1,parter ,1,ulica,blok ,3100.0
11,26.0,kraków,bronowice,1,0,0,0,1,parter ,1,ulica,blok ,3000.0
12,25.0,kraków,podgórze,1,0,0,0,1,1 ,1,ulica,apartamentowiec ,2800.0
13,45.0,kraków,grzegórzki,1,0,1,0,1,-1,2,brak,blok ,2700.0
14,38.0,kraków,łagiewniki,1,0,0,1,1,2 ,2,ulica,blok ,3596.0
15,40.0,kraków,grzegórzki,1,0,1,1,1,3 ,2,garaż,blok ,4549.0
16,37.0,kraków,dębniki,1,0,1,0,1,1 ,1,brak,blok ,2600.0
17,55.0,kraków,bronowice,1,0,0,0,1,1 ,4,ulica,szeregowiec ,4600.0
19,38.0,kraków,stare miasto,1,0,1,0,1,parter ,1,brak,kamienica ,2830.0
20,38.0,kraków,dębniki,1,0,0,0,1,parter ,1,strzeżony,dom wolnostojący ,2500.0
21,41.2,kraków,prądnik biały,1,0,0,1,1,4 ,2,ulica,blok ,3520.0
22,48.0,kraków,bronowice,0,1,1,1,1,4 ,3,strzeżony,blok ,3530.0
23,50.0,kraków,dębniki,0,1,0,1,1,1 ,2,brak,blok ,2935.0
24,38.0,kraków,podgórze,0,1,0,1,1,2 ,2,garaż,blok ,2900.0
25,38.0,kraków,prądnik czerwony,0,1,0,1,1,1 ,2,garaż,blok ,3507.0
26,48.5,kraków,grzegórzki,1,0,0,1,1,5 ,2,brak,blok ,3500.0
27,63.0,kraków,bieńczyce,1,0,1,0,1,3 ,3,brak,blok ,3550.0
28,50.0,kraków,podgórze duchackie,1,0,1,0,1,-1,2,ulica,blok ,2850.0
29,55.0,kraków,prądnik czerwony,1,0,0,0,1,1 ,3,ulica,blok ,3200.0
30,33.5,kraków,podgórze,1,0,0,0,1,1 ,1,ulica,blok ,2750.0
32,55.0,kraków,stare miasto,1,0,1,0,0,2 ,2,brak,kamienica ,3200.0
33,45.0,kraków,czyżyny,1,0,0,0,1,4 ,2,brak,blok ,2701.0
34,44.0,kraków,prądnik czerwony,0,1,0,1,1,1 ,2,brak,blok ,2650.0
35,25.0,kraków,prądnik czerwony,0,1,0,0,1,3 ,1,ulica,blok ,2380.0
36,54.0,kraków,stare miasto,1,0,0,1,1,3 ,2,brak,apartamentowiec ,3101.0
37,27.0,kraków,krowodrza,1,0,0,1,1,3 ,2,identyfikator do strefy płatnego parkowania,blok ,2800.0
38,55.0,kraków,stare miasto,1,0,0,1,1,5 ,2,brak,kamienica ,3499.0
40,32.0,kraków,stare miasto,1,0,0,1,1,2 ,2,garaż,apartamentowiec ,3600.0
41,45.0,kraków,prądnik czerwony,1,0,0,0,1,parter ,2,strzeżony,blok ,3150.0
43,36.0,kraków,grzegórzki,1,0,0,0,1,1 ,1,ulica,blok ,2475.0
44,19.0,kraków,łagiewniki,1,0,1,0,1,1 ,1,ulica,kamienica ,1300.0
46,19.0,kraków,grzegórzki,1,0,0,0,1,1 ,1,brak,blok ,2197.0
47,45.0,kraków,dębniki,1,0,0,1,1,parter ,2,ulica,blok ,2600.0
48,44.0,kraków,łagiewniki,0,1,0,0,1,1 ,2,ulica,blok ,3000.0
49,33.0,kraków,dębniki,1,0,1,1,1,parter ,2,ulica,blok ,3100.0
52,24.0,kraków,prądnik biały,0,1,0,0,1,2 ,1,ulica,blok ,2638.0
53,20.0,kraków,krowodrza,1,0,1,0,1,-1,1,brak,kamienica ,2430.0
54,40.0,kraków,podgórze,1,0,0,0,1,1 ,2,ulica,kamienica ,3301.0
57,32.0,kraków,prądnik biały,1,0,0,1,1,2 ,2,garaż,apartamentowiec ,3100.0
58,30.0,kraków,bieżanów,1,0,0,0,1,2 ,2,brak,dom wolnostojący ,1900.0
59,51.0,kraków,dębniki,1,0,1,1,1,3 ,4,ulica,blok ,4300.0
60,25.0,kraków,bronowice,1,0,1,1,1,6 ,1,garaż,apartamentowiec ,2811.0
63,24.0,kraków,stare miasto,1,0,1,0,1,2 ,1,brak,kamienica ,2950.0
64,38.0,kraków,czyżyny,1,0,0,1,1,1 ,2,ulica,apartamentowiec ,3670.0
65,73.15,kraków,łagiewniki,1,0,0,1,1,1 ,4,garaż,apartamentowiec ,4495.0
66,41.2,kraków,prądnik biały,1,0,0,1,1,4 ,2,ulica,blok ,3520.0
67,55.0,kraków,mistrzejowice,0,1,1,1,0,2 ,2,ulica,apartamentowiec ,3200.0
68,52.5,kraków,prądnik czerwony,1,0,0,1,1,8 ,3,garaż,apartamentowiec ,4150.0
69,20.0,kraków,prądnik czerwony,1,0,0,1,1,4 ,1,brak,blok ,2600.0
70,36.0,kraków,dębniki,1,0,1,1,1,4 ,2,ulica,blok ,2800.0
71,54.0,kraków,mistrzejowice,1,0,0,0,1,2 ,2,brak,blok ,3000.0
72,40.0,kraków,krowodrza,0,1,0,0,1,3 ,1,ulica,blok ,2830.0
73,25.0,kraków,stare miasto,1,0,0,0,1,3 ,1,brak,kamienica ,2680.0
75,40.0,kraków,bieńczyce,1,0,1,0,1,4 ,2,brak,blok ,2599.0
77,65.0,kraków,prądnik biały,1,0,0,1,1,4 ,2,ulica,apartamentowiec ,3650.0
78,45.0,kraków,czyżyny,1,0,0,0,1,4 ,2,brak,blok ,3650.0
79,25.0,kraków,prądnik czerwony,1,0,0,1,1,5 ,1,brak,blok ,2580.0
80,63.0,kraków,bieńczyce,1,0,1,0,1,3 ,3,brak,blok ,3550.0
81,56.0,kraków,grzegórzki,0,1,0,1,1,2 ,2,garaż,apartamentowiec ,3400.0
85,52.0,kraków,prądnik biały,1,0,0,1,1,1 ,2,strzeżony,blok ,3150.0
86,55.0,kraków,dębniki,1,0,0,0,1,3 ,2,brak,blok ,3800.0
87,30.0,kraków,prądnik czerwony,1,0,0,1,1,3 ,1,brak,blok ,2300.0
89,37.0,kraków,dębniki,0,1,0,1,1,4 ,2,garaż,blok ,3350.0
90,30.0,kraków,prądnik czerwony,1,0,0,1,1,4 ,1,ulica,blok ,2780.0
91,36.0,kraków,podgórze,1,0,0,1,1,3 ,2,garaż,apartamentowiec ,3469.0
92,37.0,kraków,bieńczyce,1,0,0,1,1,10 ,2,brak,blok ,3210.0
93,34.0,kraków,bieżanów,1,0,0,1,1,4 ,1,ulica,blok ,2200.0
95,40.0,kraków,bieżanów,1,0,0,1,1,1 ,2,garaż,blok ,3130.0
96,44.0,kraków,podgórze duchackie,0,1,1,1,1,5 ,2,brak,blok ,2900.0
97,33.0,kraków,grzegórzki,1,0,0,1,1,1 ,2,strzeżony,apartamentowiec ,3200.0
103,48.0,kraków,bronowice,0,1,1,1,1,4 ,3,strzeżony,blok ,3530.0
104,55.0,kraków,stare miasto,1,0,1,0,0,2 ,2,brak,kamienica ,3200.0
107,22.0,kraków,mistrzejowice,1,0,0,0,1,3 ,1,brak,blok ,2450.0
108,68.4,kraków,grzegórzki,0,1,0,1,1,4 ,3,brak,blok ,3900.0
115,26.0,kraków,bronowice,1,0,0,0,1,parter ,1,ulica,blok ,3000.0
117,40.0,kraków,prądnik czerwony,1,0,0,0,1,10 ,2,brak,blok ,3400.0
121,54.0,kraków,podgórze duchackie,0,1,1,1,1,1 ,2,garaż,apartamentowiec ,2600.0
122,40.0,kraków,czyżyny,1,0,0,0,1,4 ,2,brak,blok ,2501.0
123,70.0,kraków,bronowice,1,0,0,1,1,1 ,3,garaż,apartamentowiec ,6020.0
128,57.7,kraków,podgórze,1,0,1,1,1,2 ,3,garaż,blok ,5000.0
129,32.0,kraków,stare miasto,1,0,0,1,1,2 ,2,garaż,apartamentowiec ,3600.0
130,45.0,kraków,prądnik czerwony,1,0,0,0,1,parter ,2,strzeżony,blok ,3150.0
131,88.0,kraków,stare miasto,0,1,0,0,1,1 ,3,strzeżony,kamienica ,4650.0
132,35.0,kraków,prądnik czerwony,1,0,0,0,1,2 ,2,brak,blok ,2567.0
141,63.0,kraków,łagiewniki,1,0,1,0,1,1 ,3,strzeżony,blok ,3550.0
142,42.0,kraków,podgórze,1,0,1,0,1,3 ,2,brak,blok ,3700.0
143,28.0,kraków,dębniki,0,1,0,0,1,1 ,1,ulica,blok ,2149.0
149,61.0,kraków,prądnik biały,1,0,1,1,1,2 ,3,brak,blok ,4260.0
153,51.0,kraków,dębniki,1,0,0,1,1,3 ,2,garaż,blok ,4000.0
154,27.0,kraków,łagiewniki,1,0,0,1,1,10 ,1,identyfikator do strefy płatnego parkowania,blok ,2150.0
155,56.0,kraków,bronowice,1,0,0,1,1,6 ,2,garaż,blok ,4255.0
166,39.0,kraków,podgórze duchackie,1,0,0,1,1,2 ,2,ulica,apartamentowiec ,3480.0
167,37.0,kraków,krowodrza,0,1,0,0,1,1 ,2,ulica,blok ,2885.0
168,32.0,kraków,prądnik biały,1,0,0,1,1,4 ,2,brak,blok ,2900.0
172,30.0,kraków,bronowice,1,0,0,0,1,3 ,2,brak,apartamentowiec ,2060.0
179,45.0,kraków,prądnik czerwony,1,0,0,0,1,1 ,2,ulica,apartamentowiec ,3030.0
180,36.0,kraków,zwierzyniec,1,0,0,1,1,4 ,1,garaż,apartamentowiec ,3700.0
181,54.0,kraków,bronowice,1,0,0,1,1,2 ,2,garaż,blok ,3650.0
190,48.5,kraków,grzegórzki,1,0,0,1,1,5 ,2,brak,blok ,3500.0
192,37.0,kraków,bieńczyce,1,0,0,1,1,10 ,2,brak,blok ,3210.0
194,51.0,kraków,prądnik czerwony,1,0,0,1,1,4 ,2,brak,apartamentowiec ,3600.0
198,55.0,kraków,prądnik biały,1,0,0,0,1,4 ,2,brak,blok ,3100.0
199,50.0,kraków,łagiewniki,1,0,0,0,1,3 ,2,brak,apartamentowiec ,3650.0
205,54.0,kraków,bronowice,1,0,0,1,1,2 ,2,garaż,blok ,3650.0
206,36.0,kraków,dębniki,1,0,0,1,1,3 ,2,garaż,apartamentowiec ,3600.0
207,51.0,kraków,prądnik czerwony,1,0,0,0,1,parter ,2,brak,apartamentowiec ,2999.0
218,39.0,kraków,podgórze duchackie,1,0,0,1,1,2 ,2,ulica,apartamentowiec ,3480.0
219,40.0,kraków,bieżanów,1,0,0,1,1,1 ,2,garaż,blok ,3130.0
220,56.0,kraków,prądnik biały,0,1,0,0,1,4 ,2,brak,blok ,2980.0
226,24.53,kraków,krowodrza,1,0,1,1,1,4 ,1,strzeżony,pozostałe ,2780.0
231,62.0,kraków,czyżyny,1,0,0,1,1,6 ,3,garaż,blok ,4400.0
232,45.0,kraków,grzegórzki,0,1,1,1,1,9 ,2,garaż,apartamentowiec ,3900.0
233,40.0,kraków,dębniki,0,1,1,1,1,1 ,2,garaż,blok ,3380.0
240,36.0,kraków,krowodrza,1,0,0,0,1,1 ,2,brak,blok ,2300.0
241,30.0,kraków,prądnik czerwony,1,0,0,1,1,7 ,1,ulica,blok ,2650.0
242,37.0,kraków,czyżyny,1,0,0,1,1,7 ,1,ulica,apartamentowiec ,3000.0
244,51.0,kraków,dębniki,1,0,0,1,1,3 ,2,garaż,blok ,4000.0
245,37.0,kraków,krowodrza,0,1,0,0,1,1 ,2,ulica,blok ,2885.0
246,44.0,kraków,prądnik biały,1,0,0,0,1,4 ,2,brak,blok ,3350.0
253,44.0,kraków,grzegórzki,0,1,0,1,1,1 ,2,brak,apartamentowiec ,3690.0
257,25.0,kraków,stare miasto,1,0,0,0,1,3 ,1,brak,kamienica ,2680.0
259,38.0,kraków,podgórze,0,1,0,1,1,2 ,2,garaż,blok ,2900.0
270,36.0,kraków,podgórze,1,0,0,1,1,3 ,2,garaż,apartamentowiec ,3770.0
272,70.0,kraków,krowodrza,1,0,1,1,1,parter ,3,garaż,apartamentowiec ,7500.0
280,17.0,kraków,łagiewniki,0,1,0,0,1,parter ,1,brak,dom wolnostojący ,1710.0
283,45.0,kraków,podgórze duchackie,1,0,0,1,1,1 ,2,garaż,apartamentowiec ,3200.0
284,54.0,kraków,stare miasto,1,0,0,1,1,3 ,2,brak,apartamentowiec ,3101.0
285,45.62,kraków,krowodrza,1,0,1,1,1,1 ,2,brak,blok ,4300.0
289,40.0,kraków,stare miasto,0,1,0,0,1,1 ,2,ulica,kamienica ,3490.0
298,50.0,kraków,dębniki,0,1,0,1,1,1 ,2,brak,blok ,2935.0
299,51.0,kraków,bronowice,0,1,0,0,1,3 ,2,strzeżony,blok ,2550.0
303,47.0,kraków,stare miasto,1,0,1,0,1,3 ,2,brak,kamienica ,3180.0
306,33.0,kraków,stare miasto,0,1,0,0,1,1 ,1,brak,kamienica ,2650.0
307,36.0,kraków,podgórze,0,1,0,1,1,3 ,2,garaż,blok ,3255.0
309,33.0,kraków,bronowice,1,0,0,1,1,parter ,1,garaż,blok ,2950.0
310,55.0,kraków,stare miasto,1,0,0,1,1,5 ,2,brak,kamienica ,3499.0
322,35.0,kraków,stare miasto,0,1,0,0,1,parter ,2,brak,kamienica ,2601.0
323,24.5,kraków,prądnik biały,0,1,0,0,1,3 ,1,brak,blok ,2445.0
324,26.0,kraków,bronowice,1,0,0,0,1,parter ,1,ulica,blok ,3000.0
327,70.0,kraków,swoszowice,0,1,1,0,1,1 ,2,garaż,dom wolnostojący ,2699.0
332,40.0,kraków,stare miasto,1,0,0,0,1,1 ,2,brak,kamienica ,2800.0
334,44.0,kraków,prądnik biały,1,0,1,1,1,4 ,2,brak,kamienica ,3300.0
335,50.0,kraków,łagiewniki,1,0,0,0,1,3 ,2,brak,apartamentowiec ,3650.0
336,38.0,kraków,prądnik czerwony,1,0,1,0,1,3 ,2,brak,blok ,3000.0
337,26.0,kraków,krowodrza,1,0,0,1,1,6 ,1,ulica,blok ,2300.0
344,40.0,kraków,podgórze,1,0,0,1,1,4 ,2,brak,apartamentowiec ,2900.0
346,57.0,kraków,grzegórzki,0,1,1,1,1,5 ,2,brak,apartamentowiec ,3450.0
349,45.0,kraków,dębniki,1,0,0,0,1,4 ,2,garaż,blok ,3500.0
356,20.0,kraków,podgórze duchackie,1,0,0,1,1,10 ,1,ulica,blok ,2380.0
361,34.0,kraków,mistrzejowice,0,1,1,0,1,2 ,2,ulica,blok ,2550.0
362,36.0,kraków,mistrzejowice,1,0,0,1,1,4 ,1,brak,blok ,2800.0
363,60.0,kraków,bronowice,1,0,0,1,1,3 ,3,brak,kamienica ,4590.0
372,41.0,kraków,grzegórzki,0,1,0,0,1,1 ,2,ulica,blok ,2300.0
374,30.0,kraków,prądnik czerwony,1,0,0,1,1,4 ,1,ulica,blok ,2780.0
375,24.0,kraków,prądnik biały,0,1,0,0,1,2 ,1,ulica,blok ,2638.0
376,27.0,kraków,łagiewniki,1,0,0,1,1,10 ,1,identyfikator do strefy płatnego parkowania,blok ,2150.0
378,153.0,kraków,bronowice,0,1,0,0,0,1 ,4,brak,apartamentowiec ,6500.0
380,31.0,kraków,dębniki,1,0,0,1,1,3 ,1,ulica,blok ,2840.0
382,37.0,kraków,stare miasto,1,0,0,1,1,1 ,2,garaż,apartamentowiec ,4100.0
383,28.0,kraków,dębniki,0,1,1,0,1,2 ,1,brak,kamienica ,2900.0
384,21.09,kraków,krowodrza,0,1,1,0,1,parter ,1,identyfikator do strefy płatnego parkowania,kamienica ,2300.0
386,24.7,kraków,podgórze,0,1,1,1,1,3 ,1,brak,blok ,2740.0
387,63.0,kraków,czyżyny,1,0,0,0,1,1 ,3,ulica,blok ,3600.0
388,41.0,kraków,grzegórzki,1,0,0,0,1,1 ,2,ulica,kamienica ,3900.0
389,25.0,kraków,stare miasto,1,0,0,0,1,4 ,1,brak,kamienica ,2650.0
395,36.0,kraków,bronowice,0,1,0,0,1,1 ,1,brak,blok ,2428.0
397,49.0,kraków,dębniki,0,1,1,1,1,4 ,2,garaż,apartamentowiec ,3250.0
399,33.0,kraków,czyżyny,0,1,1,1,1,1 ,2,ulica,apartamentowiec ,3200.0
400,30.0,kraków,prądnik czerwony,1,0,0,0,1,1 ,2,ulica,blok ,2100.0
401,65.0,kraków,prądnik biały,1,0,0,1,1,4 ,2,ulica,apartamentowiec ,3650.0
402,32.0,kraków,stare miasto,1,0,0,1,1,2 ,2,garaż,apartamentowiec ,3600.0
407,62.0,kraków,łagiewniki,1,0,0,0,1,parter ,3,strzeżony,szeregowiec ,3400.0
408,33.0,kraków,prądnik czerwony,0,1,0,0,1,1 ,1,brak,blok ,2549.0
409,42.0,kraków,swoszowice,1,0,0,0,1,parter ,2,brak,blok ,3200.0
410,45.0,kraków,mistrzejowice,1,0,0,0,1,1 ,2,brak,blok ,2401.0
413,48.0,kraków,stare miasto,1,0,0,0,1,3 ,3,ulica,blok ,4000.0
414,19.0,kraków,grzegórzki,1,0,0,0,1,1 ,1,brak,blok ,2197.0
415,54.0,kraków,mistrzejowice,1,0,0,0,1,2 ,2,brak,blok ,3000.0
419,47.0,kraków,prądnik biały,0,1,0,0,1,1 ,2,brak,apartamentowiec ,3700.0
423,34.0,kraków,mistrzejowice,0,1,1,0,1,2 ,2,ulica,blok ,2550.0
426,16.0,kraków,dębniki,1,0,0,0,1,5 ,1,ulica,blok ,2200.0
427,25.0,kraków,stare miasto,1,0,0,0,1,3 ,1,brak,kamienica ,2680.0
428,85.0,kraków,bronowice,1,0,0,0,1,2 ,3,garaż,apartamentowiec ,3600.0
431,43.0,kraków,podgórze duchackie,1,0,0,0,1,3 ,2,identyfikator do strefy płatnego parkowania,blok ,2750.0
440,60.0,kraków,bronowice,1,0,0,1,1,3 ,3,brak,kamienica ,4590.0
441,50.0,kraków,łagiewniki,1,0,0,0,1,3 ,2,brak,apartamentowiec ,3650.0
446,24.7,kraków,podgórze,1,0,1,1,1,3 ,1,brak,apartamentowiec ,2740.0
447,28.0,kraków,dębniki,0,1,1,1,1,parter ,1,brak,blok ,2300.0
449,31.0,kraków,podgórze,1,0,0,1,1,4 ,1,strzeżony,blok ,2300.0
450,40.0,kraków,grzegórzki,0,1,1,1,1,2 ,2,garaż,blok ,3300.0
452,55.0,kraków,dębniki,1,0,0,0,1,3 ,2,brak,blok ,3800.0
453,51.0,kraków,dębniki,0,1,1,1,1,parter ,2,garaż,apartamentowiec ,3650.0
454,25.0,kraków,podgórze,1,0,0,0,1,1 ,1,ulica,apartamentowiec ,2800.0
465,43.0,kraków,grzegórzki,1,0,0,1,1,4 ,2,garaż,apartamentowiec ,3360.0
466,40.0,kraków,grzegórzki,1,0,1,1,1,3 ,2,garaż,blok ,4549.0
467,33.72,kraków,dębniki,1,0,1,0,1,1 ,1,brak,szeregowiec ,2290.0
473,38.0,kraków,grzegórzki,1,0,0,1,1,1 ,2,garaż,blok ,3000.0
477,40.0,kraków,czyżyny,0,1,1,1,1,1 ,1,ulica,apartamentowiec ,2823.0
478,32.0,kraków,podgórze,1,0,0,0,1,4 ,2,brak,blok ,3000.0
479,24.0,kraków,prądnik biały,0,1,0,0,1,2 ,1,ulica,blok ,2638.0
480,73.0,kraków,grzegórzki,1,0,0,0,1,2 ,3,brak,pozostałe ,3720.0
485,41.0,kraków,stare miasto,0,1,1,1,1,4 ,2,garaż,blok ,4300.0
486,25.0,kraków,dębniki,1,0,0,0,1,1 ,1,ulica,dom wolnostojący ,1851.0
491,29.0,kraków,podgórze,1,0,0,1,1,2 ,1,garaż,blok ,2450.0
492,37.0,kraków,bieńczyce,1,0,0,1,1,10 ,2,brak,blok ,3210.0
493,51.0,kraków,krowodrza,1,0,1,1,1,1 ,2,brak,apartamentowiec ,3500.0
503,58.0,kraków,krowodrza,0,1,0,1,1,parter ,3,ulica,apartamentowiec ,4860.0
504,54.0,kraków,krowodrza,0,1,0,1,1,2 ,2,garaż,apartamentowiec ,3275.0
505,45.0,kraków,prądnik czerwony,1,0,0,0,1,parter ,2,strzeżony,blok ,3150.0
506,50.0,kraków,podgórze duchackie,1,0,1,0,1,1 ,2,ulica,blok ,2900.0
507,36.0,kraków,dębniki,1,0,1,1,1,2 ,2,garaż,apartamentowiec ,3200.0
512,25.0,kraków,krowodrza,0,1,0,0,1,parter ,1,brak,blok ,1870.0
515,48.0,kraków,grzegórzki,1,0,0,1,1,4 ,2,garaż,blok ,4500.0
517,26.0,kraków,krowodrza,1,0,0,1,1,6 ,1,ulica,blok ,2300.0
518,30.0,kraków,krowodrza,1,0,0,0,1,2 ,1,brak,blok ,3000.0
519,30.0,kraków,prądnik czerwony,1,0,0,1,1,3 ,1,brak,blok ,2300.0
528,33.0,kraków,bronowice,0,1,0,1,1,5 ,1,strzeżony,apartamentowiec ,2750.0
530,56.0,kraków,bronowice,1,0,0,1,1,6 ,2,garaż,blok ,4255.0
531,23.0,kraków,krowodrza,0,1,0,0,1,parter ,1,brak,blok ,2000.0
532,28.0,kraków,dębniki,1,0,0,0,1,-1,1,ulica,blok ,2350.0
543,48.0,kraków,stare miasto,1,0,0,0,1,3 ,3,ulica,blok ,4000.0
545,65.0,kraków,prądnik biały,1,0,0,1,1,4 ,2,ulica,apartamentowiec ,3650.0
547,24.0,kraków,krowodrza,0,1,1,1,1,6 ,1,garaż,apartamentowiec ,2850.0
549,29.0,kraków,dębniki,0,1,0,0,1,2 ,2,ulica,blok ,2795.0
554,26.0,kraków,krowodrza,1,0,0,1,1,6 ,1,ulica,blok ,2300.0
556,37.0,kraków,bieńczyce,1,0,0,1,1,10 ,2,brak,blok ,3210.0
557,50.0,kraków,dębniki,0,1,0,1,1,1 ,2,brak,blok ,2935.0
563,16.0,kraków,grzegórzki,1,0,0,0,1,-1,1,brak,pozostałe ,2200.0
564,36.0,kraków,grzegórzki,0,1,0,1,1,5 ,2,garaż,apartamentowiec ,3750.0
569,56.0,kraków,bronowice,1,0,0,1,1,6 ,2,garaż,blok ,4255.0
571,28.0,kraków,dębniki,1,0,0,0,1,-1,1,ulica,blok ,2350.0
573,20.0,kraków,nowa huta,0,1,0,0,1,-1,1,ulica,blok ,2199.0
580,27.0,kraków,bieńczyce,1,0,0,0,1,4 ,1,ulica,blok ,35023.0
583,41.2,kraków,prądnik biały,1,0,0,1,1,4 ,2,ulica,blok ,3520.0
584,52.0,kraków,grzegórzki,0,1,0,1,1,3 ,2,brak,blok ,4590.0
586,38.0,kraków,krowodrza,0,1,0,0,1,2 ,1,brak,blok ,2480.0
592,40.0,kraków,prądnik biały,0,1,0,1,1,4 ,2,brak,blok ,3194.0
597,36.0,kraków,zwierzyniec,1,0,0,1,1,4 ,1,garaż,apartamentowiec ,3700.0
599,23.0,kraków,stare miasto,1,0,0,1,1,3 ,1,identyfikator do strefy płatnego parkowania,kamienica ,2660.0
601,37.0,kraków,prądnik biały,1,0,1,1,1,parter ,2,brak,apartamentowiec ,2923.0
608,110.0,kraków,stare miasto,1,0,0,0,1,-1,3,brak,kamienica ,5500.0
610,42.0,kraków,dębniki,1,0,0,1,1,3 ,2,garaż,blok ,2501.0
612,35.0,kraków,bieżanów,1,0,0,0,1,2 ,2,brak,blok ,2500.0
620,34.0,kraków,łagiewniki,1,0,0,1,1,2 ,2,garaż,blok ,3206.0
621,43.0,kraków,krowodrza,1,0,0,1,1,2 ,2,brak,blok ,3600.0
622,45.0,kraków,czyżyny,1,0,0,0,1,4 ,2,brak,blok ,2701.0
623,39.0,kraków,podgórze duchackie,1,0,0,1,1,2 ,2,ulica,apartamentowiec ,3480.0
625,45.0,kraków,czyżyny,1,0,1,1,1,6 ,2,ulica,blok ,4100.0
627,36.0,kraków,krowodrza,0,1,1,1,1,6 ,2,strzeżony,blok ,3290.0
630,47.0,kraków,bieżanów,1,0,0,1,1,2 ,2,garaż,apartamentowiec ,3300.0
634,65.0,kraków,grzegórzki,1,0,0,1,1,2 ,3,brak,blok ,3900.0
636,40.0,kraków,dębniki,0,1,1,1,1,1 ,2,garaż,blok ,3380.0
640,77.0,kraków,grzegórzki,0,1,1,1,1,6 ,2,brak,apartamentowiec ,7500.0
647,19.0,kraków,krowodrza,1,0,0,0,1,parter ,1,brak,kamienica ,2900.0
648,38.0,kraków,bieńczyce,1,0,0,0,1,-1,2,brak,blok ,2370.0
649,33.72,kraków,dębniki,1,0,1,0,1,1 ,1,brak,szeregowiec ,2290.0
658,41.0,kraków,mistrzejowice,1,0,0,0,1,2 ,2,ulica,blok ,2800.0
661,27.0,kraków,krowodrza,1,0,0,1,1,3 ,2,identyfikator do strefy płatnego parkowania,blok ,2800.0
662,45.0,kraków,mistrzejowice,1,0,0,0,1,1 ,2,brak,blok ,2401.0
664,32.33,kraków,bronowice,0,1,1,1,1,2 ,2,brak,blok ,3200.0
667,30.0,kraków,podgórze,1,0,1,0,1,3 ,1,ulica,blok ,1601.0
669,47.0,kraków,bronowice,0,1,1,0,1,3 ,3,brak,blok ,2860.0
670,46.65,kraków,mistrzejowice,1,0,1,1,1,parter ,2,strzeżony,blok ,3300.0
671,34.0,kraków,prądnik czerwony,0,1,0,1,1,2 ,1,brak,apartamentowiec ,2701.0
672,46.0,kraków,bronowice,1,0,1,0,1,2 ,2,strzeżony,szeregowiec ,3500.0
673,39.0,kraków,grzegórzki,1,0,0,1,1,5 ,2,garaż,blok ,4050.0
674,45.0,kraków,grzegórzki,1,0,1,0,1,-1,2,brak,blok ,2700.0
676,27.7,kraków,krowodrza,0,1,1,0,1,3 ,1,brak,blok ,2223.0
680,25.32,kraków,krowodrza,1,0,0,0,1,1 ,1,ulica,blok ,2350.0
686,45.0,kraków,bronowice,1,0,0,0,1,2 ,2,ulica,blok ,3200.0
688,19.0,kraków,grzegórzki,1,0,0,0,1,1 ,1,brak,blok ,2197.0
689,41.0,kraków,grzegórzki,1,0,0,0,1,1 ,2,ulica,kamienica ,3900.0
690,22.56,kraków,prądnik biały,0,1,1,0,1,2 ,1,brak,kamienica ,2200.0
691,51.0,kraków,prądnik czerwony,1,0,0,1,1,4 ,2,brak,apartamentowiec ,3600.0
692,27.0,kraków,łagiewniki,1,0,0,1,1,10 ,1,identyfikator do strefy płatnego parkowania,blok ,2150.0
699,30.0,kraków,prądnik czerwony,1,0,0,1,1,3 ,1,brak,blok ,2300.0
700,35.0,kraków,prądnik czerwony,1,0,0,0,1,2 ,2,brak,blok ,2567.0
701,67.42,kraków,mistrzejowice,1,0,0,1,1,1 ,3,garaż,apartamentowiec ,3650.0
703,28.0,kraków,podgórze,0,1,0,1,1,parter ,1,strzeżony,apartamentowiec ,3250.0
713,47.5,kraków,prądnik czerwony,1,0,0,1,1,1 ,2,brak,apartamentowiec ,3550.0
714,70.0,kraków,prądnik czerwony,1,0,0,0,1,parter ,3,brak,blok ,4350.0
719,59.0,kraków,stare miasto,0,1,1,1,1,1 ,3,garaż,apartamentowiec ,6000.0
721,37.0,kraków,prądnik czerwony,1,0,0,1,1,4 ,2,ulica,blok ,2750.0
725,45.0,kraków,czyżyny,1,0,0,0,1,4 ,2,brak,blok ,3650.0
726,34.0,kraków,bieżanów,1,0,0,1,1,4 ,1,ulica,blok ,2200.0
